TAG	MODIFICATION FLAG	BIC CODE	BRANCH CODE	INSTITUTION NAME	BRANCH INFORMATION	CITY HEADING	SUBTYPE INDICATION	VALUE ADDED SERVICES	EXTRA INFO	PHYSICAL ADDRESS 1	PHYSICAL ADDRESS 2	PHYSICAL ADDRESS 3	PHYSICAL ADDRESS 4	LOCATION	COUNTRY NAME	POB NUMBER	POB LOCATION	POB COUNTRY NAME
FI	U	AARBDE5W	CLE	AAREAL BANK AG	(CLEARING)	WIESBADEN	SUPE	FIN	ADM					WIESBADEN	GERMANY			
FI	U	AARBDE5W	DOM	AAREAL BANK AG	(GF -BK01-)	WIESBADEN	SUPE	FINTG+	BRA					WIESBADEN	GERMANY			
FI	U	AARBDE5W	XXX	AAREAL BANK AG		WIESBADEN	SUPE	FINPCHTGT		PAULINENSTRASSE 15				65189 WIESBADEN	GERMANY			
FI	U	AARBESM1	XXX	AAREAL BANK AG		MADRID	NSWB			PASEO DE LA CASTELLANA 60 - 4D				28004 MADRID	SPAIN			
FI	U	AARBFRP1	XXX	AAREAL BANK AG, PARIS BRANCH		PARIS	NSWB			29 BIS, RUE D'ASTORG				75008 PARIS	FRANCE			
FI	U	AARBIE21	XXX	AAREAL BANK AG, DUBLIN BRANCH		DUBLIN	NSWB			4 CUSTOM HOUSE PLAZA 	I.F.S.C.			DUBLIN	IRELAND			
FI	U	AARBITR1	XXX	AAREAL BANK AG, ROMA BRANCH		ROMA	NSWB	EB+TG+		VIA MERCADANTE 12/14				00198 ROMA	ITALY			
FI	U	AARCFRP1	XXX	CARCO		PARIS	NSWB			15 AVENUE DE L'OPERA				75001 PARIS	FRANCE			
FI	U	AARFECE1	XXX	CAJA DE AHORRO Y CREDITO FRANCISCA CHIGUA		ESPINDOLA	NSWB			Y DEL CASTILLO 	CANTON ESPINDOLA			ESPINDOLA	ECUADOR			
FI	U	AARIDE61	XXX	SCHRODER PROPERTY KAPITALANLAGEGESELLSCHAFT MBH		WIESBADEN	NSWB			WILHELMSTRASSE 7				65189 WIESBADEN	GERMANY			
FI	U	AARNECE1	XXX	CAJA DE AHORRO Y CREDITO SAN FRANCISCO		GONZANAMA	NSWB			BARRIO BERNARDO OCHOA Y SIMON 	BOLIVAR/JUNTO A UNIDAD EDUCATIVA 	SAN VICENTE PAUL		GONZANAMA	ECUADOR			
FI	U	AAROECE1	XXX	CAJA DE AHORRO Y CREDITO FRONTERA SUR		GONZANAMA	NSWB			NAMBACOLA-GONZANAMA				GONZANAMA	ECUADOR			
FI	U	AARRECE1	XXX	CAJA DE AHORRO Y CREDITO ORIENTE		EL COCA	NSWB			SAN CARLOS				EL COCA	ECUADOR			
FI	U	AASANO21	XXX	AASEN SPAREBANK		ASEN	NSWB							7630 ASEN	NORWAY			
FI	U	AASBBRS1	XXX	ABN AMRO SECURITIES (BRASIL) CORRETORA DE VALORES MOBILIARIOS SA		SAO PAULO	NSWB			AVENIDA PAULISTA 1 374 	FLOOR 3			04179-002 SAO PAULO	BRAZIL			
FI	U	AASCSKB1	XXX	AMSLICO AIG SECURITIES O.C.P, A.S.		BRATISLAVA	NSWB			HVIEZDOSLAVOVO NAMESTIE 20				81102 BRATISLAVA	SLOVAKIA			
